"Country Name","Country Code","Indicator Name","Indicator Code","Time Period","Value","Status",
"Emerging and Developing Economies","200","Allocated Reserves, US Dollars","RAXGFXAR_USD","2001","443998965813.757",""
"Emerging and Developing Economies","200","Allocated Reserves, US Dollars","RAXGFXAR_USD","2002","509511802398.403",""
"Emerging and Developing Economies","200","Allocated Reserves, US Dollars","RAXGFXAR_USD","2003","656951928535.227",""
"Emerging and Developing Economies","200","Allocated Reserves, US Dollars","RAXGFXAR_USD","2004","818540674113.341",""
"Emerging and Developing Economies","200","Allocated Reserves, US Dollars","RAXGFXAR_USD","2005","1009384149135.44",""
"Emerging and Developing Economies","200","Allocated Reserves, US Dollars","RAXGFXAR_USD","2006","1320584991098.88",""
"Emerging and Developing Economies","200","Allocated Reserves, US Dollars","RAXGFXAR_USD","2007","1939687137988.18",""
"Emerging and Developing Economies","200","Allocated Reserves, US Dollars","RAXGFXAR_USD","2008","1984902952794.47",""
"Emerging and Developing Economies","200","Allocated Reserves, US Dollars","RAXGFXAR_USD","2009","2123766118052.36",""
"Emerging and Developing Economies","200","Allocated Reserves, US Dollars","RAXGFXAR_USD","2010","2409907525074.43",""
"Emerging and Developing Economies","200","Allocated Reserves, US Dollars","RAXGFXAR_USD","2011","2583548215899.87",""
"Emerging and Developing Economies","200","Allocated Reserves, US Dollars","RAXGFXAR_USD","2012","2771496804397.89",""
"Emerging and Developing Economies","200","Allocated Reserves, US Dollars","RAXGFXAR_USD","2013","2800260756078.48",""
"Emerging and Developing Economies","200","Allocated Reserves, US Dollars","RAXGFXAR_USD","2014","3346776521642.44",""
"Emerging and Developing Economies","200","Allocated Reserves, US Dollars","RAXGFXAR_USD","1995","266898770372",""
"Emerging and Developing Economies","200","Allocated Reserves, US Dollars","RAXGFXAR_USD","1996","313274647900",""
"Emerging and Developing Economies","200","Allocated Reserves, US Dollars","RAXGFXAR_USD","1997","359306864200",""
"Emerging and Developing Economies","200","Allocated Reserves, US Dollars","RAXGFXAR_USD","1998","355477927226.461",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in Australian dollars, US Dollars","RAXGFXARAUD_USD","2012","48889228792.2638",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in Australian dollars, US Dollars","RAXGFXARAUD_USD","2013","58449841500.0677",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in Australian dollars, US Dollars","RAXGFXARAUD_USD","2014","53966277671.7523",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in Canadian dollars, US Dollars","RAXGFXARCAD_USD","2012","58462831784.1856",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in Canadian dollars, US Dollars","RAXGFXARCAD_USD","2013","60667715969.8316",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in Canadian dollars, US Dollars","RAXGFXARCAD_USD","2014","62839258367.1055",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in Deutsche mark, US Dollars","RAXGFXARDEM_USD","1995","32588780033",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in Deutsche mark, US Dollars","RAXGFXARDEM_USD","1996","37461311000",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in Deutsche mark, US Dollars","RAXGFXARDEM_USD","1997","44346872000",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in Deutsche mark, US Dollars","RAXGFXARDEM_USD","1998","46406929031.4929",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in ECUs, US Dollars","RAXGFXARECU_USD","1995","172420000",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in ECUs, US Dollars","RAXGFXARECU_USD","1996","182000000",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in ECUs, US Dollars","RAXGFXARECU_USD","1997","391000000",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in ECUs, US Dollars","RAXGFXARECU_USD","1998","96000000",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in euro, US Dollars","RAXGFXAREURO_USD","1999","63575662079.1551",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in euro, US Dollars","RAXGFXAREURO_USD","2000","73307271423.5079",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in euro, US Dollars","RAXGFXAREURO_USD","2001","87112174855.5163",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in euro, US Dollars","RAXGFXAREURO_USD","2002","124574746569.165",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in euro, US Dollars","RAXGFXAREURO_USD","2003","193501477553.509",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in euro, US Dollars","RAXGFXAREURO_USD","2004","233354039039.857",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in euro, US Dollars","RAXGFXAREURO_USD","2005","287551534422.728",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in euro, US Dollars","RAXGFXAREURO_USD","2006","382732458827.569",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in euro, US Dollars","RAXGFXAREURO_USD","2007","544776876147.085",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in euro, US Dollars","RAXGFXAREURO_USD","2008","581758308620.561",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in euro, US Dollars","RAXGFXAREURO_USD","2009","641968472098.374",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in euro, US Dollars","RAXGFXAREURO_USD","2010","669766169219.637",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in euro, US Dollars","RAXGFXAREURO_USD","2011","695310867295.257",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in euro, US Dollars","RAXGFXAREURO_USD","2012","656972901396.166",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in euro, US Dollars","RAXGFXAREURO_USD","2013","658042980596.668",""
